AccountNumber,BillNumber,IssueDate,DueDate,CustomerName,Address,OSBalance,AdvancePayment,CurrentCharges,TamperingInst,OtherInst,OtherCharges,ConsumptionValue,MeterRent,CountryFils,FuelPriceRate,TVFees,GarbageFees,MeterNumber,Period,PresRead,PrevRead,CalcUsage,Disc,MultFactor,ExportedUsage,NetConsumption,IsObb,ObbAmount,Language,PrevMonPeriod_1,PrevMonConsumption_1,PrevMonPeriod_2,PrevMonConsumption_2,PrevMonPeriod_3,PrevMonConsumption_3,PrevMonPeriod_4,PrevMonConsumption_4,PrevMonPeriod_5,PrevMonConsumption_5,PrevMonPeriod_6,PrevMonConsumption_6,PrevMonPeriod_7,PrevMonConsumption_7,PrevMonPeriod_8,PrevMonConsumption_8,PrevMonPeriod_9,PrevMonConsumption_9,PrevMonPeriod_10,PrevMonConsumption_10,PrevMonPeriod_11,PrevMonConsumption_11
2582966367,6325359899,2017-12-06,2018-01-09,Monica Greer,"454 Robles Walk Apt. 447, East Alexchester, NJ 92355",18.84,29.32,141.03,4,2,7.71,516.8599342523328,5.54,0.68,0.58,0.55,2.91,439307,2018-05-01 to 2018-05-28,10501,10196,305,0.68,1.08,329.4,329.4,TRUE,46.17,English,2017-03-01 to 2017-03-28,539.69,2017-01-01 to 2017-10-28,519.01,2017-02-01 to 2017-06-28,521.26,2017-01-01 to 2017-08-28,524.41,2017-11-01 to 2017-10-28,526.35,2017-06-01 to 2017-07-28,517.85,2017-12-01 to 2017-02-28,504.43,2017-05-01 to 2017-10-28,508.22,2017-08-01 to 2017-11-28,510.94,2017-02-01 to 2017-01-28,499.65,2017-04-01 to 2017-01-28,516.86
2177553151,6509846011,2017-04-07,2017-05-06,David Rios,"3833 Gutierrez Hills, Johnsonmouth, KY 99049",36.42,-1.67,453.29,8,4,2.61,549.3541901363662,5.7,0.94,0.29,1.92,17.6,359637,2018-08-01 to 2018-01-28,11465,10837,628,0.73,1.02,640.56,640.56,TRUE,31.58,Arabic,2017-06-01 to 2017-06-28,561.6,2017-05-01 to 2017-03-28,565.48,2017-02-01 to 2017-10-28,559.29,2017-04-01 to 2017-11-28,574.13,2017-12-01 to 2017-09-28,571.84,2017-12-01 to 2017-05-28,562.35,2017-03-01 to 2017-02-28,569.36,2017-09-01 to 2017-04-28,552.24,2017-06-01 to 2017-10-28,562.89,2017-09-01 to 2017-10-28,558.72,2017-10-01 to 2017-11-28,549.35
2415617696,6969188845,2017-03-19,2017-04-20,Brittney Sullivan,"8430 Jenna Crossroad Suite 561, South Robertport, FL 07769",95.13,10.84,499.6,0,0,14.73,575.8163646910159,3.33,0.21,0.43,0.86,2.1,400957,2018-09-01 to 2018-09-28,10055,9385,670,0.33,1.02,683.4,683.4,TRUE,4.59,English,2017-12-01 to 2017-12-28,574.04,2017-03-01 to 2017-07-28,570.76,2017-07-01 to 2017-06-28,590.36,2017-03-01 to 2017-07-28,566.74,2017-04-01 to 2017-03-28,569.92,2017-11-01 to 2017-02-28,565.87,2017-06-01 to 2017-01-28,573.1,2017-11-01 to 2017-05-28,569.81,2017-11-01 to 2017-08-28,572.39,2017-02-01 to 2017-06-28,576.03,2017-10-01 to 2017-09-28,575.82
2487981147,6961581467,2017-09-27,2017-10-26,Jill Elliott,"890 Jeremy Plaza, Alyssafurt, SC 71734",74.34,15.44,319.77,9,0,8.6,563.7567679116647,2.95,0.59,0.93,1.46,5.63,248445,2018-12-01 to 2018-07-28,11147,10584,563,0.06,1.04,585.52,585.52,TRUE,6.06,English,2017-05-01 to 2017-03-28,579.68,2017-10-01 to 2017-05-28,590.2,2017-06-01 to 2017-05-28,575.15,2017-05-01 to 2017-07-28,575.41,2017-07-01 to 2017-04-28,582.69,2017-04-01 to 2017-11-28,577.47,2017-04-01 to 2017-05-28,586.99,2017-11-01 to 2017-08-28,580.7,2017-12-01 to 2017-01-28,578.63,2017-01-01 to 2017-01-28,562.78,2017-12-01 to 2017-11-28,563.76
2965766313,6981474561,2017-07-23,2017-08-13,Jessica Jones,"PSC 9066, Box 6418, APO AP 09444",58.86,-36.93,322.18,1,2,6.47,423.2307416108865,4.96,0.72,0.31,1.12,15.76,922428,2018-01-01 to 2018-12-28,10116,9436,680,0.38,1.07,727.6,727.6,FALSE,,Arabic,2017-08-01 to 2017-10-28,467.87,2017-03-01 to 2017-06-28,458.77,2017-07-01 to 2017-05-28,456.18,2017-03-01 to 2017-05-28,472.74,2017-05-01 to 2017-01-28,449.32,2017-01-01 to 2017-09-28,440.6,2017-08-01 to 2017-06-28,427.99,2017-02-01 to 2017-01-28,433.07,2017-07-01 to 2017-07-28,456.39,2017-06-01 to 2017-11-28,434.07,2017-08-01 to 2017-03-28,423.23
2744949191,6959915607,2017-08-27,2017-09-21,Tina Oconnell,"654 Carlos Burg, West Steve, ND 11896",33.75,24.69,341.31,2,1,15.8,645.6235347133118,7.28,0.83,0.78,1.63,7.24,713431,2018-01-01 to 2018-03-28,10945,10496,449,0.83,1.04,466.96,466.96,FALSE,,English,2017-04-01 to 2017-05-28,670.95,2017-05-01 to 2017-11-28,667.37,2017-05-01 to 2017-09-28,680.32,2017-12-01 to 2017-12-28,676.12,2017-05-01 to 2017-05-28,670.88,2017-02-01 to 2017-08-28,667.99,2017-03-01 to 2017-04-28,659.83,2017-07-01 to 2017-12-28,645.93,2017-11-01 to 2017-06-28,669.48,2017-05-01 to 2017-03-28,655.13,2017-10-01 to 2017-12-28,645.62
2004971944,6536689046,2017-09-02,2017-09-27,David Aguirre,"97246 Jarvis Rest, West Amyville, OH 75319",78.49,47.45,134.61,1,1,4.74,478.56076239186666,9.33,0.14,0.97,1.67,2.86,954088,2018-11-01 to 2018-01-28,11213,10674,539,0.57,1.09,587.51,587.51,TRUE,47.61,English,2017-02-01 to 2017-04-28,437.59,2017-11-01 to 2017-05-28,428.03,2017-01-01 to 2017-07-28,413.65,2017-05-01 to 2017-04-28,449.7,2017-04-01 to 2017-06-28,441.56,2017-09-01 to 2017-07-28,456.7,2017-12-01 to 2017-06-28,455.65,2017-08-01 to 2017-09-28,457.84,2017-02-01 to 2017-03-28,462.12,2017-09-01 to 2017-06-28,451.89,2017-10-01 to 2017-01-28,478.56
2046934609,6543420577,2017-07-25,2017-08-17,Timothy Lewis,"0215 John Burgs, South Kennethton, NM 88052",66.58,-35.82,379.53,5,0,18.54,391.04611383830417,8.7,0.21,0.6,1.03,4.92,879591,2018-01-01 to 2018-04-28,10166,9744,422,0.06,1.01,426.22,426.22,TRUE,41.57,English,2017-02-01 to 2017-10-28,445.16,2017-05-01 to 2017-08-28,426.68,2017-08-01 to 2017-02-28,406.1,2017-12-01 to 2017-04-28,404.7,2017-11-01 to 2017-07-28,434.53,2017-08-01 to 2017-06-28,410.97,2017-03-01 to 2017-12-28,398.17,2017-05-01 to 2017-10-28,403.05,2017-09-01 to 2017-04-28,382.34,2017-09-01 to 2017-08-28,401.69,2017-02-01 to 2017-06-28,391.05
2432803523,6488408081,2017-12-11,2017-12-26,Robert Smith,"7401 Sutton Street Apt. 287, Port Sylvia, TN 79134",38.5,-47.96,187.43,7,2,0.97,580.3631566491081,2.22,0.69,0.37,1.56,7.27,852311,2018-05-01 to 2018-03-28,11646,11186,460,0.02,1.03,473.8,473.8,TRUE,42.72,English,2017-04-01 to 2017-07-28,566.3,2017-02-01 to 2017-10-28,577.35,2017-05-01 to 2017-06-28,590.73,2017-04-01 to 2017-01-28,580.45,2017-03-01 to 2017-06-28,592.13,2017-10-01 to 2017-06-28,592.78,2017-10-01 to 2017-04-28,616.89,2017-09-01 to 2017-07-28,589.02,2017-02-01 to 2017-11-28,593.83,2017-11-01 to 2017-01-28,621.57,2017-10-01 to 2017-01-28,580.36
2696062022,6488747380,2017-10-16,2017-11-22,Debra King,"990 Baker Via, Lake Patrickbury, CA 91806",78.3,-34.02,136.51,9,2,5.8,699.4675686807435,3.73,0.33,0.46,1.48,7.7,867197,2018-05-01 to 2018-09-28,11156,10597,559,0.11,1.05,586.95,586.95,TRUE,49.31,English,2017-05-01 to 2017-12-28,636.45,2017-03-01 to 2017-07-28,663.35,2017-01-01 to 2017-05-28,670.86,2017-10-01 to 2017-08-28,675.9,2017-10-01 to 2017-02-28,673.11,2017-06-01 to 2017-12-28,682.95,2017-04-01 to 2017-08-28,672.36,2017-08-01 to 2017-04-28,690.1,2017-07-01 to 2017-11-28,686.45,2017-09-01 to 2017-10-28,692.2,2017-04-01 to 2017-07-28,699.47
